id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1457844566095138823,1457844566095138823,2021-11-09 04:26:44 India Standard Time,2021-11-09,04:26:44,+0530,59367717,dime_hacks,DIME編集部,,iPhone 13、iPad mini、Apple Watch Series 7、様々な深化を垣間見ることができたアップルの新製品群   https://t.co/IuXgxfRDhz  @DIME_HACKSより,ja,"[{'screen_name': 'dime_hacks', 'name': 'dime編集部', 'id': '59367717'}]",['https://dime.jp/genre/1246439/'],[],0,0,1,[],[],https://twitter.com/DIME_HACKS/status/1457844566095138823,False,,0,,,,,,,,[],,,,
1457841565028679684,1457841565028679684,2021-11-09 04:14:49 India Standard Time,2021-11-09,04:14:49,+0530,59367717,dime_hacks,DIME編集部,,iPhone 13、iPad mini、Apple Watch Series 7、様々な深化を垣間見ることができたアップルの新製品群   https://t.co/IuXgxfRDhz @DIME_HACKSより,ja,"[{'screen_name': 'dime_hacks', 'name': 'dime編集部', 'id': '59367717'}]",['https://dime.jp/genre/1246439/'],[],0,1,0,[],[],https://twitter.com/DIME_HACKS/status/1457841565028679684,False,,0,,,,,,,,[],,,,
1457836249566220288,1457836249566220288,2021-11-09 03:53:41 India Standard Time,2021-11-09,03:53:41,+0530,59367717,dime_hacks,DIME編集部,,iPhone 13、iPad mini、Apple Watch Series 7、様々な深化を垣間見ることができたアップルの新製品群   https://t.co/IuXgxfRDhz @DIME_HACKSより,ja,"[{'screen_name': 'dime_hacks', 'name': 'dime編集部', 'id': '59367717'}]",['https://dime.jp/genre/1246439/'],[],0,1,0,[],[],https://twitter.com/DIME_HACKS/status/1457836249566220288,False,,0,,,,,,,,[],,,,
1457835849198944260,1457835849198944260,2021-11-09 03:52:06 India Standard Time,2021-11-09,03:52:06,+0530,59367717,dime_hacks,DIME編集部,,iPhone 13、iPad mini、Apple Watch Series 7、様々な深化を垣間見ることができたアップルの新製品群  https://t.co/IuXgxfRDhz @DIME_HACKSより,ja,"[{'screen_name': 'dime_hacks', 'name': 'dime編集部', 'id': '59367717'}]",['https://dime.jp/genre/1246439/'],[],0,0,0,[],[],https://twitter.com/DIME_HACKS/status/1457835849198944260,False,,0,,,,,,,,[],,,,
1457762342276681737,1457762342276681737,2021-11-08 23:00:00 India Standard Time,2021-11-08,23:00:00,+0530,43077446,gadgets360,Gadgets 360,,"Apple iPhone 13, iPhone 13 mini review: Should you upgrade?   https://t.co/Fhko3YK2UI",en,[],[],[],0,2,24,[],[],https://twitter.com/Gadgets360/status/1457762342276681737,False,,1,https://pbs.twimg.com/media/FDgumCLVkAMmx9Q.jpg,,,,,,,[],,,,
1457652954480013313,1457652954480013313,2021-11-08 15:45:20 India Standard Time,2021-11-08,15:45:20,+0530,43077446,gadgets360,Gadgets 360,,"Apple iPhone 13, iPhone 13 mini review: Should you upgrade?  https://t.co/Fhko3Z1DMg",en,[],[],[],0,1,14,[],[],https://twitter.com/Gadgets360/status/1457652954480013313,False,,1,https://pbs.twimg.com/media/FDgumCLVkAMmx9Q.jpg,,,,,,,[],,,,
