id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1457802014960721922,1457802014960721922,2021-11-09 01:37:39 India Standard Time,2021-11-09,01:37:39,+0530,8631032,cnetfrance,CNET France,,Test Realme 8i : notre avis  https://t.co/UtQpQAluLH  https://t.co/zAbvAdMZO1,en,[],['https://www.cnetfrance.fr/produits/test-realme-8i-39931815.htm?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1636396409'],['https://pbs.twimg.com/media/FDsnNQHUUAgwYgA.jpg'],0,0,0,[],[],https://twitter.com/cnetfrance/status/1457802014960721922,False,,1,https://pbs.twimg.com/media/FDsnNQHUUAgwYgA.jpg,,,,,,,[],,,,
1457698649430007811,1457698649430007811,2021-11-08 18:46:55 India Standard Time,2021-11-08,18:46:55,+0530,108626853,gizmodoes,Gizmodo en Español,,El Realme 8i es una buena elección para jugar en el móvil sin romperte el presupuesto  https://t.co/KRmNDaUbwR  https://t.co/zH0hMRDuG5,es,[],['https://es.gizmodo.com/el-realme-8i-es-una-buena-eleccion-para-jugar-en-el-mov-1847995719'],['https://pbs.twimg.com/media/FDrJMl1XMAIUKOy.jpg'],0,2,2,[],[],https://twitter.com/GizmodoES/status/1457698649430007811,False,,1,https://pbs.twimg.com/media/FDrJMl1XMAIUKOy.jpg,,,,,,,[],,,,
1457566046286606336,1457566046286606336,2021-11-08 10:00:00 India Standard Time,2021-11-08,10:00:00,+0530,986828524936990721,realmeindia,realme,,"Today is the last day of the #realmeFestiveDays Sale, don't let these smooth Offers slip by! Time to bring home the #realme8i at special prices* with additional bank Offers. Sale ends today, HURRY! *T&amp;C Apply #GreatThingsAwaitYou  Buy now:  https://t.co/GRm9uz2l8W  https://t.co/L2MxjVP03I",en,[],['http://bit.ly/3mzu47e'],['https://pbs.twimg.com/media/FDSWxUsUcAIXPSs.jpg'],12,27,268,"['realmefestivedays', 'realme8i', 'greatthingsawaityou']",[],https://twitter.com/realmeIndia/status/1457566046286606336,False,,1,https://pbs.twimg.com/media/FDSWxUsUcAIXPSs.jpg,,,,,,,[],,,,
