id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1457666389343227912,1457666389343227912,2021-11-08 16:38:44 India Standard Time,2021-11-08,16:38:44,+0530,515203442,lazadaid,Lazada,,"🎉GIVEAWAY ALERT🎉  Mau HP OPPO A15? Yuk, Follow, RT &amp; Reply jawaban yang tepat + tulis promo yang kamu tunggu-tunggu di Lazada 11.11 dengan #YakinDariHati #ArditBag1Bag1Hadiah #LazadaGiveaway.  *Pengumuman 15 Nov   #Lazada1111 #DiskonTerbesarSatuHari #YakinDariHati #LazadaID  https://t.co/erIGAi6ZOQ",in,[],[],[],1111,174,208,"['yakindarihati', 'arditbag1bag1hadiah', 'lazadagiveaway', 'lazada1111', 'diskonterbesarsatuhari', 'yakindarihati', 'lazadaid']",[],https://twitter.com/LazadaID/status/1457666389343227912,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1457666207490863113/pu/img/Ow83Cgx-ZbkZfUJ-.jpg,,,,,,,[],,,,
1457627799020265474,1457548024754814980,2021-11-08 14:05:23 India Standard Time,2021-11-08,14:05:23,+0530,2905924871,colorosglobal,ColorOS,,@the_Omnitrix We appreciate your continued interest as we work on OPPO A15 to receive ColorOS 11. Stay tuned for more batches of updates!,en,[],[],[],0,0,0,[],[],https://twitter.com/colorosglobal/status/1457627799020265474,False,,0,,,,,,,,"[{'screen_name': 'the_Omnitrix', 'name': 'HeatBlast', 'id': '1398928418482180099'}]",,,,
